,Adview
0,508.83817
1,770.00116
2,-1576.6096
3,30.763702
4,188759.23
5,-1277.523
6,-451.86105
7,-496.07224
8,-302.9742
9,-706.0441
10,-462.6882
11,844.26544
12,1277.7329
13,-75.7424
14,-1540.5493
15,420.48538
16,1074.0228
17,-474.09567
18,2117.0808
19,1070.0891
20,-1075.117
21,2738.2024
22,-1742.3789
23,2281.1006
24,938.36414
25,-3252.6904
26,-1090.1104
27,1261.749
28,1346.346
29,-2290.6763
30,-2398.019
31,1313.3679
32,-119.09885
33,56.74588
34,-1513.5181
35,-546.4466
36,471.48526
37,678.1573
38,-1853.4556
39,10300.95
40,-901.5285
41,-656.78156
42,-494.11203
43,152.35513
44,974.253
45,-990.75995
46,-457.64963
47,-659.0201
48,-1457.5477
49,-1693.7065
50,-1031.122
51,3065.3408
52,841.4665
53,2064.5657
54,-3900.3022
55,1025.6387
56,-1494.64
57,-3203.414
58,-1486.6191
59,-782.4147
60,944.7488
61,196.42776
62,-3772.2861
63,-365.86765
64,-1345.9194
65,2587.958
66,131.975
67,-459.15854
68,712.38947
69,-1438.8447
70,2725.2131
71,485.7178
72,-909.47064
73,-797.1087
74,-476.77963
75,1434.5796
76,-5165.875
77,-492.80856
78,178.97293
79,2432.223
80,2916.9082
81,1827.1204
82,-1801.3691
83,-71.608734
84,-3668.6555
85,555.01764
86,2150.6377
87,-531.3459
88,-286.16647
89,117.29117
90,-88.462006
91,-2939.7034
92,283.72903
93,-998.3769
94,-1674.3113
95,1309.25
96,-406.1826
97,607.37616
98,113.92679
99,-160.69821
100,3866.3481
101,-310.17355
102,-171.26828
103,1848.9946
104,643.06256
105,-743.5107
106,474.90823
107,3775.1987
108,-153.69955
109,2281.9856
110,3039.7188
111,-58.54196
112,4273.483
113,414.12405
114,588.3923
115,194.00247
116,-179.4725
117,-1448.7148
118,-528.0507
119,362.19266
120,1306.3251
121,9036.615
122,-149.63351
123,667.3455
124,12108.576
125,2382.1833
126,-240.08786
127,2596.4346
128,-2394.9282
129,-661.64764
130,-1903.0342
131,-51.859344
132,-5889.035
133,4550.8643
134,69.92618
135,-542.11224
136,96.84964
137,-1437.3662
138,-1026.519
139,-61.44577
140,-2099.9316
141,2357.122
142,279.5955
143,-124.666595
144,-483.73532
145,637.4367
146,-2290.1936
147,-255.42746
148,-1119.8048
149,-1423.06
150,-468.23557
151,-1522.5571
152,3821.0918
153,-1092.3972
154,2561.4546
